Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
1,C,Jason Castro*\castrja01,29,113,376,329,41,69,16,3,11,32,2,1,45,123,.210,.307,.377,.684,89,124,9,1,1,0,0
2,1B,Marwin Gonzalez#\gonzama01,27,141,518,484,55,123,26,3,13,51,12,6,22,118,.254,.293,.401,.694,91,194,16,5,6,1,1
3,2B,Jose Altuve\altuvjo01,26,161,717,640,108,216,42,5,24,96,30,10,60,70,.338,.396,.531,.928,155,340,15,7,3,7,11
4,SS,Carlos Correa\correca01,21,153,660,577,76,158,36,3,20,96,13,3,75,139,.274,.361,.451,.811,124,260,12,5,0,3,5
5,3B,Luis Valbuena*\valbulu01,30,90,342,292,38,76,17,1,13,40,1,1,44,81,.260,.357,.459,.816,125,134,5,1,3,2,2
6,LF,Colby Rasmus*\rasmuco01,29,107,417,369,38,76,10,0,15,54,4,1,43,121,.206,.286,.355,.641,77,131,5,0,1,4,0
7,CF,Carlos Gomez\gomezca01,30,85,323,295,27,62,16,1,5,29,13,2,21,100,.210,.272,.322,.594,65,95,11,4,3,0,2
8,RF,George Springer\springe01,26,162,744,644,116,168,29,5,29,82,9,10,88,178,.261,.359,.457,.815,125,294,12,11,0,1,2
9,DH,Evan Gattis\gattiev01,29,128,499,447,58,112,19,0,32,72,2,1,43,127,.251,.319,.508,.826,125,227,12,4,0,5,6
10,OF,Jake Marisnick\marisja01,25,118,311,287,40,60,18,1,5,21,10,5,16,83,.209,.257,.331,.588,62,95,4,3,4,1,0
11,1B,Tyler White\whitety01,25,85,276,249,24,54,16,0,8,28,1,0,23,65,.217,.286,.378,.664,83,94,6,2,0,2,1
12,3B,Alex Bregman\bregmal01,22,49,217,201,31,53,13,3,8,34,2,0,15,52,.264,.313,.478,.791,116,96,1,0,0,1,0
13,DH,Preston Tucker*\tuckepr01,25,48,144,134,11,22,8,1,4,8,0,0,8,40,.164,.222,.328,.551,50,44,2,2,0,0,0
14,1B,AJ Reed*\reedaj01,23,45,141,122,11,20,3,0,3,8,0,0,18,48,.164,.270,.262,.532,49,32,1,0,0,1,0
15,3B,Yuli Gurriel\gourryu01,32,36,137,130,13,34,7,0,3,15,1,1,5,12,.262,.292,.385,.677,86,50,7,1,0,1,0
16,LF,Tony Kemp*\kempto01,24,59,136,120,15,26,4,3,1,7,2,1,14,27,.217,.296,.325,.621,73,39,5,0,1,1,0
17,OF,Teoscar Hernandez\hernate01,23,41,112,100,15,23,7,0,4,11,0,2,11,28,.230,.304,.420,.724,99,42,5,0,0,1,1
18,IF,Danny Worth\worthda01,30,16,40,39,4,7,2,0,0,1,0,0,1,6,.179,.200,.231,.431,20,9,1,0,0,0,0
19,C,Erik Kratz\kratzer01,36,14,30,29,0,2,1,0,0,0,0,0,1,14,.069,.100,.103,.203,-43,3,1,0,0,0,0
20,3B,Colin Moran*\moranco01,23,9,25,23,1,3,1,0,0,2,0,0,1,8,.130,.200,.174,.374,6,4,4,1,0,0,0
