Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
1,C,Jason Castro*\castrja01,28,104,375,337,38,71,19,0,11,31,0,0,33,115,.211,.283,.365,.648,79,123,5,2,0,3,1
2,1B,Chris Carter\cartech02,28,129,460,391,50,78,17,0,24,64,1,2,57,151,.199,.307,.427,.734,102,167,5,6,0,5,1
3,2B,Jose Altuve\altuvjo01,25,154,689,638,86,200,40,4,15,66,38,13,33,67,.313,.353,.459,.812,125,293,17,9,3,6,8
4,SS,Carlos Correa\correca01,20,99,432,387,52,108,22,1,22,68,14,4,40,78,.279,.345,.512,.857,135,198,10,1,0,4,2
5,3B,Luis Valbuena*\valbulu01,29,132,493,434,62,97,18,0,25,56,1,0,50,106,.224,.310,.438,.748,106,190,13,6,0,3,1
6,LF,Preston Tucker*\tuckepr01,24,98,323,300,35,73,19,0,13,33,0,2,20,68,.243,.297,.437,.734,102,131,3,3,0,0,0
7,CF,Jake Marisnick\marisja01,24,133,372,339,46,80,15,4,9,36,24,9,18,105,.236,.281,.383,.665,84,130,2,5,6,4,0
8,RF,George Springer\springe01,25,102,451,388,59,107,19,2,16,41,16,4,50,109,.276,.367,.459,.826,129,178,4,8,2,3,0
9,DH,Evan Gattis\gattiev01,28,153,604,566,66,139,20,11,27,88,0,1,30,119,.246,.285,.463,.748,104,262,13,3,0,5,3
10,OF,Colby Rasmus*\rasmuco01,28,137,485,432,67,103,23,2,25,61,2,1,47,154,.238,.314,.475,.789,116,205,6,2,1,3,0
11,IF,Marwin Gonzalez#\gonzama01,26,120,370,344,44,96,18,1,12,34,4,5,16,74,.279,.317,.442,.759,109,152,9,3,7,0,0
12,IF,Jed Lowrie#\lowrije01,31,69,263,230,35,51,14,0,9,30,1,0,28,43,.222,.312,.400,.712,97,92,3,3,0,2,5
13,C,Hank Conger#\congeha01,27,73,229,201,25,46,11,0,11,33,0,1,23,63,.229,.311,.448,.759,109,90,6,2,1,2,0
14,CF,Carlos Gomez\gomezca01,29,41,163,149,19,36,9,0,4,13,10,3,8,31,.242,.288,.383,.670,85,57,1,2,3,1,1
15,IF,Jonathan Villar#\villajo01,24,53,128,116,18,33,7,1,2,11,7,2,10,29,.284,.339,.414,.752,109,48,3,0,1,1,0
16,1B,Jon Singleton*\singljo02,23,19,58,47,6,9,2,0,1,6,1,0,10,17,.191,.328,.298,.625,77,14,0,0,0,1,0
17,LF,Robbie Grossman#\grossro01,25,24,54,49,7,7,2,0,1,5,0,0,5,17,.143,.222,.245,.467,31,12,0,0,0,0,0
18,OF,Domingo Santana\santado01,22,14,42,39,6,10,2,0,2,8,2,1,2,17,.256,.310,.462,.771,112,18,1,1,0,0,0
19,C,Max Stassi\stassma01,24,11,17,15,4,6,0,0,1,2,0,0,1,5,.400,.438,.600,1.038,186,9,1,0,1,0,0
20,OF,L.J. Hoes\hoeslj01,25,8,16,15,1,4,0,0,0,1,0,0,1,3,.267,.313,.267,.579,65,4,0,0,0,0,0
21,OF,Alex Presley*\preslal01,29,8,13,12,1,3,0,0,0,1,0,0,1,5,.250,.308,.250,.558,59,3,0,0,0,0,0
22,CI,Matt Duffy\duffyma02,26,8,9,8,0,3,1,0,0,3,0,0,1,2,.375,.444,.500,.944,164,4,0,0,0,0,0
23,P,Collin McHugh\mchugco01,28,3,8,8,1,1,0,0,0,0,0,0,0,4,.125,.125,.125,.250,-30,1,0,0,0,0,0
24,P,Dallas Keuchel*\keuchda01,27,2,6,5,0,1,0,0,0,0,0,0,0,4,.200,.200,.200,.400,13,1,0,0,1,0,0
25,P,Brett Oberholtzer*\oberhbr01,25,1,3,0,0,0,0,0,0,0,0,0,1,0,,1.000,,,,0,0,0,2,0,0
26,P,Roberto Hernandez\carmofa01,34,1,3,2,1,0,0,0,0,0,0,0,1,2,.000,.333,.000,.333,6,0,0,0,0,0,0
27,P,Scott Kazmir*\kazmisc01,31,1,2,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0
28,P,Scott Feldman*\feldmsc01,32,1,2,2,0,1,0,0,0,0,0,0,0,1,.500,.500,.500,1.000,182,1,0,0,0,0,0
29,P,Lance McCullers Jr.*\mcculla02,21,1,2,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0
30,P,Will Harris\harriwi10,30,4,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0
31,P,Pat Neshek#\neshepa01,34,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
32,P,Joe Thatcher*\thatcjo01,33,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
33,P,Kevin Chapman*\chapmke02,27,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
34,P,Mike Fiers\fiersmi01,30,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
35,P,Josh Fields\fieldjo03,29,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
36,P,Sam Deduno\dedunsa01,31,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
37,P,Jake Buchanan\buchaja01,25,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
38,P,Chad Qualls\quallch01,36,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
39,P,Vince Velasquez#\velasvi01,23,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
40,P,Tony Sipp*\sippto01,31,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
