Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
1,C,Martin Maldonado,33,47,165,135,19,29,4,0,6,24,1,0,27,51,0.215,0.35,0.378,0.727,98,51,2,1,2,0,0
2,1B,Yuli Gurriel,36,57,230,211,27,49,12,1,6,22,0,1,12,27,0.232,0.274,0.384,0.658,76,81,6,2,0,5,0
3,2B,Jose Altuve,30,48,210,192,32,42,9,0,5,18,2,3,17,39,0.219,0.286,0.344,0.629,71,66,5,1,0,0,0
4,SS,Carlos Correa,25,58,221,201,22,53,9,0,5,25,0,0,16,49,0.264,0.326,0.383,0.709,92,77,4,3,0,1,2
5,3B,Alex Bregman,26,42,180,153,19,37,12,1,6,22,0,0,24,26,0.242,0.35,0.451,0.801,116,69,2,2,0,1,1
6,LF,Kyle Tucker*,23,58,228,209,33,56,12,6,9,42,8,1,18,46,0.268,0.325,0.512,0.837,123,107,2,0,0,1,2
7,CF,George Springer,30,51,222,189,37,50,6,2,14,32,1,2,24,38,0.265,0.359,0.54,0.899,140,102,3,5,0,2,0
8,RF,Josh Reddick*,33,56,210,188,22,46,11,1,4,23,1,0,20,42,0.245,0.316,0.378,0.693,88,71,5,0,0,1,0
9,DH,Michael Brantley*,33,46,187,170,24,51,15,0,5,22,2,0,17,28,0.3,0.364,0.476,0.84,126,81,3,0,0,0,0
10,IF,Abraham Toro#,23,33,97,87,13,13,2,0,3,9,1,1,3,23,0.149,0.237,0.276,0.513,39,24,1,7,0,0,0
11,CF,Myles Straw,25,33,86,82,8,17,4,0,0,8,6,2,4,22,0.207,0.244,0.256,0.5,37,21,0,0,0,0,0
12,UT,Aledmys Díaz,29,17,59,58,8,14,5,0,3,6,0,0,1,12,0.241,0.254,0.483,0.737,94,28,1,0,0,0,0
13,IF,Jack Mayfield,29,21,47,42,5,8,1,0,0,3,0,0,2,14,0.19,0.239,0.214,0.453,25,9,1,1,1,1,0
14,C,Dustin Garneau,32,17,46,38,4,6,0,1,1,4,0,0,6,15,0.158,0.273,0.289,0.562,54,11,1,0,2,0,0
15,DH,Taylor Jones,26,7,22,21,3,4,1,0,1,3,0,0,1,7,0.19,0.227,0.381,0.608,61,8,2,0,0,0,0
16,UT,Garrett Stubbs*,27,14,10,8,1,1,0,0,0,1,0,1,0,0,0.125,0.111,0.125,0.236,-36,1,0,0,1,1,0
17,DH,Yordan Álvarez*,23,2,9,8,2,2,0,0,1,4,0,0,0,1,0.25,0.333,0.625,0.958,152,5,1,1,0,0,0
18,P,Justin Verlander,37,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
19,P,Blake Taylor*,24,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
20,P,Joe Biagini,30,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
21,P,Andre Scrubb,25,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
22,P,Cionel Pérez,24,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
23,P,Brooks Raley*,32,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
24,P,Brandon Bailey,25,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
25,P,Ryan Pressly,31,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
26,P,Josh James,27,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
